timestamp,measured_supply_C,persistence_C,source_ridge_C,local_history_ridge_C
2018-04-07 11:00:00+00:00,82.37,86.19,87.29649387966448,88.60636357941476
2018-04-07 12:00:00+00:00,83.37,85.7,86.0335287328484,86.39190383699588
2018-04-07 13:00:00+00:00,83.98,85.18,87.4185581871248,88.05902527655961
2018-04-07 14:00:00+00:00,83.2,83.87,86.32582676203033,86.69341179519463
2018-04-07 15:00:00+00:00,83.05,84.45,85.53790110675429,86.09409445599525
2018-04-07 16:00:00+00:00,83.73,84.1,84.55710481580797,85.23410601419269
2018-04-07 17:00:00+00:00,85.2,82.37,83.55458454749896,84.54297472288464
2018-04-07 18:00:00+00:00,86.16,83.37,84.0179247092184,85.18244221245406
2018-04-07 19:00:00+00:00,87.33,83.98,83.5661310038556,85.1438284216416
2018-04-07 20:00:00+00:00,88.05,83.2,82.69294275317756,84.77775353893936
2018-04-07 21:00:00+00:00,88.04,83.05,82.82430353061811,85.11330820720453
2018-04-07 22:00:00+00:00,87.28,83.73,83.13827514363292,85.61236600503138
2018-04-07 23:00:00+00:00,86.9,85.2,83.705831002428,86.2145140887821
2018-04-08 00:00:00+00:00,89.81,86.16,84.65197167441619,87.04731224139834
2018-04-08 01:00:00+00:00,90.62,87.33,85.48073842664736,87.82170223571951
2018-04-08 02:00:00+00:00,88.29,88.05,85.53227785138849,87.63491439438573
2018-04-08 03:00:00+00:00,85.79,88.04,85.70688827584168,87.61398553999211
2018-04-08 04:00:00+00:00,83.74,87.28,85.73855721236927,87.37404395858418
2018-04-08 05:00:00+00:00,81.59,86.9,86.05915289404521,87.51380944574734
2018-04-08 06:00:00+00:00,80.35,89.81,87.30273103762003,88.8919347150661
2018-04-08 07:00:00+00:00,82.24,90.62,86.71166022112422,87.88465805455887
2018-04-08 08:00:00+00:00,81.76,88.29,85.83302385068372,87.24064040468811
2018-04-08 09:00:00+00:00,82.28,85.79,85.35179756612646,86.58670859191072
2018-04-08 10:00:00+00:00,82.69,83.74,84.66781962525471,85.05291925058506
2018-04-08 11:00:00+00:00,82.62,81.59,84.14544990644353,83.5894525302612
2018-04-08 12:00:00+00:00,81.59,80.35,84.76811937396748,83.98380002764098
2018-04-08 13:00:00+00:00,80.73,82.24,85.38798400980063,84.61777507871628
2018-04-08 14:00:00+00:00,80.74,81.76,83.75557422646084,83.22112275823731
2018-04-08 15:00:00+00:00,81.12,82.28,83.2146767266681,83.237022373868
2018-04-08 16:00:00+00:00,82.38,82.69,82.58455067531361,82.90485280961971
2018-04-08 17:00:00+00:00,84.05,82.62,82.02294971424438,82.39391274732955
